Autor,Comentário,Data,Likes,Sentimento BERT
@welingtonliberatosantos2470,"Comprei antecipadamente meu ingresso, sugiro que façam o mesmo...",2024-11-06T18:57:39Z,3,
@danielapereira9696,Esse filme tem que ser assistido!,2024-11-06T15:28:59Z,1,
@STUDIOGSP-ip1xk,"tem fernanda torres, dou play",2024-11-05T15:36:21Z,1,
@danielapereira9696,É isso aí!,2024-11-05T14:03:09Z,2,
@adrianamessiasdeoliveira9092,O elenco é show . Fiquei curiosa,2024-11-05T06:08:55Z,1,
@EmmaNuel.FerNando,Fezes.......kkk,2024-11-05T05:17:08Z,0,
@ruirui3681,"Vai ser fantástico,😭😭😭😭😭",2024-11-04T21:24:44Z,2,
@ruirui3681,"Chorando 😭 antecipadamente.... Estarei lá prestigiando e aí final gritando bravoooooo, bravíssimo 👏👏👏👏👏👏👏👏👏👏👏👏👏👏",2024-11-04T21:22:07Z,3,
@arturofreire,Que bosta,2024-11-04T16:00:18Z,0,
@camiladossantosmonteiro768,MISERICÓRDIAAAAAAAAAAAAAAAAAAAAAA 😍😍😍😍😍😍😍🥰,2024-11-04T13:37:30Z,1,
@rhute_tertuliano,PREPARA O LENCINHO E VAI!,2024-11-04T13:22:07Z,1,
@JBMT1991,Está sendo muito bem recebido pela crítica nos festivais.,2024-11-04T13:07:35Z,2,
@guisoad1,Mais um filmaço do cinema brasileiro.,2024-11-04T00:14:42Z,2,
@marciapinto6194,"Sinceramente, Fernanda Montenegro é fantástica!",2024-11-03T22:46:15Z,1,
@JonathanSouza-kg2xy,"""Ainda estou aqui, mamando na Rouanet!""",2024-11-03T18:20:01Z,0,
@alva8818,"Eu não gosto muito do cinema nacional, mas este filme tem os melhores atores e uma uma Fotografia muito bonita. O roteiro parece ótimo também.",2024-11-03T03:10:35Z,5,
@TheLuisaLevy,❤ orgulhinho,2024-11-02T16:56:03Z,0,
@Emilly325,É tão lindo mãe e filha no mesmo papel. Tão parecidas. É a transição entre juventude e velhice mais real que eu já vi.,2024-11-02T03:27:17Z,12,
@leonardoaugusto2882,Dia 07 eu vou ❤️❤️❤️,2024-11-02T00:02:32Z,2,
@Danielle7maia,"Não sendo roubado, o Oscar vem.",2024-11-01T19:34:23Z,1,
@MrLethivic,Ditadura PT/STF em 2024,2024-11-01T16:40:56Z,0,
@lukitalanz,que trailer emocionante!!,2024-11-01T12:42:47Z,1,
@DanielCoimbra-ro7tc,Um tempo triste da historia do Brasil pena que boa parte dos brasileiros nao sabem deste periodo .risco do fasismo ainda e forte,2024-11-01T07:43:12Z,2,
@buzzlion,Que trailer meus amigos,2024-11-01T04:58:04Z,1,
@buzzlion,Amo,2024-11-01T04:57:23Z,1,
@gabisacramento2374,Não entendi do que esse filme fala,2024-11-01T03:32:14Z,1,
